n_agents,num_drones,num_dogs,max_hops,Budget_m,Coverage_ratio,Prob_covered_ratio,Overlap_ratio,Victims_pct,Area_km2,Path_length_km,Likelihood,TD_Score,Time_first_victim,Efficiency_ratio,Latency,Elapsed_s,Algorithm,Seed
5,5,0,0.0,100000.0,0.1369838971523847,0.33750746956187655,0.22125218258917437,28.000000000000004,5.54960415201756,499.87509798876215,0.06741609424352646,0.002316626153348972,9.0,0.7787478174108257,2310.943377400848,2.0,hops_0,42
5,5,0,1.0,100000.0,0.15374489930235619,0.387358176678948,0.26471514006924773,31.5,6.235637871342197,499.9165845894032,0.07779910415410995,0.002570116972834459,9.0,0.7352848599307523,1773.9918469978666,1.7,hops_1,42
5,5,0,3.0,100000.0,0.10659909613443903,0.2839531328978019,0.4690197792590974,20.5,4.302839818313829,499.9364046154307,0.057221949100494385,0.0025706559262436693,9.0,0.5309802207409027,1491.9243191661162,2.0,hops_3,42
5,5,0,999.0,100000.0,0.10659909613443903,0.2839531328978019,0.4690197792590974,20.5,4.302839818313829,499.9364046154307,0.057221949100494385,0.0025706559262436693,9.0,0.5309802207409027,1493.0709625394034,2.0,hops_inf,42
5,5,0,0.0,100000.0,0.1369838971523847,0.33750493489988936,0.22115504552825246,36.0,5.548890817189681,499.89265784329194,0.06746939569711685,0.002316626153348972,13.0,0.7788449544717475,2310.420107272047,2.0,hops_0,123
5,5,0,1.0,100000.0,0.15365714536439823,0.3874077453914976,0.26559714795008915,41.0,6.225177950233331,499.91452382958784,0.07770715653896332,0.002570116972834459,13.0,0.7344028520499108,1774.8859014395612,1.7,hops_1,123
5,5,0,3.0,100000.0,0.10602869553771226,0.28749521509160925,0.31241997439180536,28.000000000000004,4.293898932564399,499.91752912617557,0.057568881660699844,0.0025702618457587477,13.0,0.6875800256081946,1945.0953851432494,2.3,hops_3,123
5,5,0,999.0,100000.0,0.10602869553771226,0.28749521509160925,0.31241997439180536,28.000000000000004,4.293898932564399,499.91752912617557,0.057568881660699844,0.0025702618457587477,13.0,0.6875800256081946,1945.9332533630366,2.3,hops_inf,123
5,5,0,0.0,100000.0,0.13924356105480235,0.34072021318690776,0.21863843407608027,27.0,5.639751050920224,499.82597805708536,0.06815534085035324,0.002316626153348972,0.0,0.7813615659239197,2300.226640403792,2.0,hops_0,456
5,5,0,1.0,100000.0,0.15374489930235619,0.38735865523832874,0.2651006711409396,31.5,6.23117492438805,499.92729173601606,0.07771609723567963,0.002570116972834459,0.0,0.7348993288590604,1775.007845825716,1.7,hops_1,456
5,5,0,3.0,100000.0,0.10659909613443903,0.2839531328978019,0.4690197792590974,21.5,4.302839818313829,499.9364046154307,0.057221949100494385,0.0025706559262436693,0.0,0.5309802207409027,1491.9243191661162,2.0,hops_3,456
5,5,0,999.0,100000.0,0.10659909613443903,0.2839531328978019,0.4690197792590974,21.5,4.302839818313829,499.9364046154307,0.057221949100494385,0.0025706559262436693,0.0,0.5309802207409027,1493.0709625394034,2.1,hops_inf,456
5,5,0,0.0,100000.0,0.13707165109034267,0.3375045450087874,0.22162700884514763,30.0,5.547669249497381,499.90990528219004,0.06755439937114716,0.002316626153348972,3.0,0.7783729911548524,2308.5860221751586,2.1,hops_0,789
5,5,0,1.0,100000.0,0.15356939142644027,0.38735865523832874,0.26601656705462934,33.0,6.224869798965819,499.9038166829764,0.07772953808307648,0.002570116972834459,3.0,0.7339834329453706,1773.2413924436319,1.8,hops_1,789
5,5,0,3.0,100000.0,0.10659909613443903,0.2839531328978019,0.4690197792590974,22.0,4.302839818313829,499.9364046154307,0.057221949100494385,0.0025706559262436693,3.0,0.5309802207409027,1491.9243191661162,2.1,hops_3,789
5,5,0,999.0,100000.0,0.10659909613443903,0.2839531328978019,0.4690197792590974,22.0,4.302839818313829,499.9364046154307,0.057221949100494385,0.0025706559262436693,3.0,0.5309802207409027,1493.0709625394034,2.1,hops_inf,789
5,5,0,0.0,100000.0,0.1369838971523847,0.33750544779031216,0.2213492954233695,30.5,5.547747981164539,499.8948274063778,0.06747076660394669,0.002316626153348972,6.0,0.7786507045766305,2310.1962838259133,2.0,hops_0,2025
5,5,0,1.0,100000.0,0.1577815804484226,0.39407012749312503,0.29233494047033354,33.5,6.394397175313866,499.8924212362685,0.07928144931793213,0.002570116972834459,6.0,0.7076650595296664,1721.5220572097446,1.8,hops_1,2025
5,5,0,3.0,100000.0,0.10574349523934887,0.28719108748372363,0.31319464234824734,24.5,4.282949845612944,499.91780993877745,0.05754995718598366,0.0025702618457587477,6.0,0.6868053576517527,1946.5722637778351,2.2,hops_3,2025
5,5,0,999.0,100000.0,0.10574349523934887,0.28719108748372363,0.31319464234824734,24.5,4.282949845612944,499.91780993877745,0.05754995718598366,0.0025702618457587477,6.0,0.6868053576517527,1947.4104259704568,2.2,hops_inf,2025
